40120000
 c74 1aa5 1bfc 1b3f 1a2f 1b90 19e6 19ce 19e2 1a4d 1a00 1916 1a26 1a37 1b00 1944 
 d9e  e06  dde  e8d  e85  e5b  fc5  e72  e51  f4a  e41  d7a  e78  ef3  db4  e32 
 dfd  ddd  e4d  e03  d8e  de0  eea  f71  f0b  d96  dc9  e68  f75  dc1  e17  e10 
 ed2  cbd  ce3  d61  ce5  cfb  d38  d67  d9e  d41  cfa  ca0  d54  d38  dbe  db6 
102b  f01  e75  ed6  e94  dd0  df6  e69  e65  e99  df3  ea8  e31  d26  cda  d8c 
 dd5  dec  d54  cbe  de3  c95  d26  db5  e4f  d2b  cc3  c87  c69  e0f  ca1  e05 
 c55  d4f  d12  c6a  c08  cb2  c5e  d15  cf4  c74  cb2  b83  c20  c49  c53  b06 
 d10  b94  c71  c46  d01  cd6  cee  cea  ca3  c9d  ddc  c83  d15  c45  c8a  dcf 
 dec  d10  b81  c79  b3f  b98  b42  bae  b7e  adf  bd0  c95  ba2  c15  b86  c1a 
 d1d  b46  bc4  cf1  c3b  c94  ae1  d8b  c5a  d6c  c7f  cdc  d2e  d2e  d0f  e2a 
 daa  e2b  d64  d1b  d67  dc0  e68  ecc  ef8  cf2  da3  ece  e45  cf2  d8d  dfe 
 c98  e18  d4d  da1  c52  dc6  d17  db3  d80  cdb  cb1  d8e  dbc  d81  dae  cb5 
40220000
 e8b 1d71 1dcc 1d86 1e56 1d43 1e32 1e10 1d82 1d44 1d00 1e2c 1d3b 1df4 1d7b 1c0a 
1d1d 1c9d 1e38 1d81 1d1e 1c8e 1c4a 1b33 1baf 1bd1 1c42 1bf2 1c24 1b21 1b61 1b63 
1bd3 1b43 1ba5 1a7d 1b49 1a4e 1b30 1c25 1947 1a85 1a18 1945 1af7 1ad1 1ad3 19f9 
19d4 1a9e 1a56 1b8b 19ea 1a78 1a36 1a76 1a36 1ab9 1a58 1b92 1aae 1bb5 1c1d 1a0e 
 92f 189e 1a06 186c 1add 1a23 1a55 1a37 1971 197b 1a9b 19d2 1a0b 1aa1 1aa7 194a 
1a84 1b78 1a68 1a77 1a67 1c09 1b78 1b86 1b93 1bba 1c45 1b81 1c0c 1c03 1ca6 1b29 
1b8b 1b07 1be6 1cbb 1c3c 1d75 1c07 1c26 1bc1 1cfb 1b4a 1d62 1c65 1b2f 1ba3 1cea 
1baf 1c8b 1c8b 1c29 1b9e 1c37 1ba2 1bd6 1aed 1b30 1bbc 1b89 1be8 1ad9 1c80 1a48 
